slugA,slugB,bodyJaccard,titleSim,indexableA,indexableB,clicksA,clicksB,imprA,imprB,tierA,tierB,recommendedCanonical
practice-room-eungam1,practice-room-jeungsan1,0.4894,0.667,true,true,1,0,8,6,KEEP,WATCH_LOW,practice-room-eungam1
practice-room-guitar-fingerstyle-adv1,practice-room-guitar-fingerstyle21,0.4893,0.231,true,true,1,0,18,19,KEEP,WATCH,practice-room-guitar-fingerstyle21
practice-room-daehwa1,practice-room-hwajong1,0.4872,0.769,false,false,,,,,,,practice-room-daehwa1
practice-room-jichuk1,practice-room-saejeol1,0.4872,0.538,true,true,2,1,15,5,KEEP,KEEP,practice-room-jichuk1
practice-room-hapjeong1,practice-room-hwajong1,0.4867,0.643,true,false,,,,,,,practice-room-hapjeong1
practice-room-gupabal1,practice-room-jichuk1,0.4849,0.667,true,true,1,2,6,15,KEEP,KEEP,practice-room-jichuk1
practice-room-guitar-sweep-picking1,practice-room-guitar-sweep1,0.4837,0.455,true,true,1,1,53,51,KEEP,KEEP,practice-room-guitar-sweep-picking1
practice-room-piano-duet1,practice-room-piano-four-hands1,0.4828,0.300,true,true,0,0,4,0,WATCH_LOW,NOINDEX_CANDIDATE,practice-room-piano-duet1
practice-room-dokbawi1,practice-room-yeokchon1,0.4816,0.667,true,true,0,0,11,4,WATCH,WATCH_LOW,practice-room-dokbawi1
practice-room-guitar-fingerpick-pattern1,practice-room-guitar-fingerstyle-adv1,0.4806,0.333,true,true,0,1,8,18,WATCH_LOW,KEEP,practice-room-guitar-fingerstyle-adv1
practice-room-hwajong1,practice-room-mangwon1,0.4791,0.692,false,true,,,,,,,practice-room-mangwon1
practice-room-eungam1,practice-room-saejeol1,0.4786,0.667,true,true,1,1,8,5,KEEP,KEEP,practice-room-eungam1
practice-room-eungam1,practice-room-yeokchon1,0.4778,0.667,true,true,1,0,8,4,KEEP,WATCH_LOW,practice-room-eungam1
practice-room-guitar-picking-adv1,practice-room-guitar-sweep1,0.4765,0.455,true,true,0,1,0,51,NOINDEX_CANDIDATE,KEEP,practice-room-guitar-sweep1
practice-room-dokbawi1,practice-room-jichuk1,0.4751,0.538,true,true,0,2,11,15,WATCH,KEEP,practice-room-jichuk1
practice-room-guitar-picking-adv1,practice-room-guitar-sweep-picking1,0.4739,0.400,true,true,0,1,0,53,NOINDEX_CANDIDATE,KEEP,practice-room-guitar-sweep-picking1
practice-room-drum-tempo1,practice-room-drum-timing1,0.4734,0.400,true,true,0,1,14,9,WATCH,KEEP,practice-room-drum-tempo1
practice-room-dokbawi1,practice-room-gusan1,0.4710,0.818,true,true,0,0,11,8,WATCH,WATCH_LOW,practice-room-dokbawi1
practice-room-guitar-acoustic-fingerpick1,practice-room-guitar-fingerstyle21,0.4694,0.067,true,true,0,0,0,19,NOINDEX_CANDIDATE,WATCH,practice-room-guitar-fingerstyle21
practice-room-guitar-acoustic-fingerpick1,practice-room-guitar-fingerpick-pattern1,0.4685,0.333,true,true,0,0,0,8,NOINDEX_CANDIDATE,WATCH_LOW,practice-room-guitar-fingerpick-pattern1
practice-room-guitar-acoustic-fingerpick1,practice-room-guitar-fingerstyle-adv1,0.4683,0.333,true,true,0,1,0,18,NOINDEX_CANDIDATE,KEEP,practice-room-guitar-fingerstyle-adv1
practice-room-jeungsan1,practice-room-wondang1,0.4681,0.538,true,true,0,0,6,11,WATCH_LOW,WATCH,practice-room-wondang1
practice-room-drum-metronome1,practice-room-drum-tempo1,0.4680,0.125,true,true,0,0,29,14,WATCH,WATCH,practice-room-drum-metronome1
practice-room-guitar-fingering1,practice-room-guitar-left-hand1,0.4665,0.308,true,true,0,1,0,18,NOINDEX_CANDIDATE,KEEP,practice-room-guitar-left-hand1
practice-room-saejeol1,practice-room-wondang1,0.4659,0.538,true,true,1,0,5,11,KEEP,WATCH,practice-room-wondang1
practice-room-dokbawi1,practice-room-gupabal1,0.4651,0.667,true,true,0,1,11,6,WATCH,KEEP,practice-room-dokbawi1
practice-room-piano-concerto1,practice-room-piano-four-hands1,0.4645,0.300,true,true,0,0,0,0,NOINDEX_CANDIDATE,NOINDEX_CANDIDATE,practice-room-piano-concerto1
practice-room-drum-metronome1,practice-room-drum-timing1,0.4636,0.385,true,true,0,1,29,9,WATCH,KEEP,practice-room-drum-metronome1
practice-room-drum-funk1,practice-room-drum-hiphop1,0.4635,0.133,true,true,0,2,18,47,WATCH,KEEP,practice-room-drum-hiphop1
practice-room-guitar-left-hand1,practice-room-guitar-stretch1,0.4612,0.267,true,true,1,2,18,60,KEEP,KEEP,practice-room-guitar-stretch1
practice-room-guitar-picking-adv1,practice-room-guitar-picking1,0.4597,0.364,true,true,0,0,0,0,NOINDEX_CANDIDATE,NOINDEX_CANDIDATE,practice-room-guitar-picking1
practice-room-saejeol1,practice-room-yeokchon1,0.4589,0.667,true,true,1,0,5,4,KEEP,WATCH_LOW,practice-room-saejeol1
practice-room-guitar-memory1,practice-room-guitar-strumming1,0.4587,0.231,true,true,1,1,16,33,KEEP,KEEP,practice-room-guitar-strumming1
practice-room-piano-chromatic1,practice-room-piano-four-hands1,0.4584,0.300,true,true,1,0,28,0,KEEP,NOINDEX_CANDIDATE,practice-room-piano-chromatic1
practice-room-guitar-fingering1,practice-room-guitar-strumming1,0.4580,0.273,true,true,0,1,0,33,NOINDEX_CANDIDATE,KEEP,practice-room-guitar-strumming1
practice-room-piano-baroque1,practice-room-piano-sight-play1,0.4575,0.333,true,true,0,1,11,66,WATCH,KEEP,practice-room-piano-sight-play1
practice-room-jichuk1,practice-room-yeokchon1,0.4568,0.667,true,true,2,0,15,4,KEEP,WATCH_LOW,practice-room-jichuk1
practice-room-jeungsan1,practice-room-yeokchon1,0.4566,0.667,true,true,0,0,6,4,WATCH_LOW,WATCH_LOW,practice-room-jeungsan1
practice-room-guitar-pinch-harmonic1,practice-room-guitar-strumming1,0.4559,0.273,true,true,0,1,0,33,NOINDEX_CANDIDATE,KEEP,practice-room-guitar-strumming1
practice-room-guitar-memory1,practice-room-guitar-pinch-harmonic1,0.4558,0.231,true,true,1,0,16,0,KEEP,NOINDEX_CANDIDATE,practice-room-guitar-memory1
practice-room-guitar-fingering1,practice-room-guitar-memory1,0.4553,0.231,true,true,0,1,0,16,NOINDEX_CANDIDATE,KEEP,practice-room-guitar-memory1
practice-room-guitar-mute1,practice-room-guitar-pinch-harmonic1,0.4550,0.067,true,true,0,0,32,0,WATCH,NOINDEX_CANDIDATE,practice-room-guitar-mute1
practice-room-guitar-memory1,practice-room-guitar-riff1,0.4550,0.231,true,true,1,0,16,0,KEEP,NOINDEX_CANDIDATE,practice-room-guitar-memory1
practice-room-piano-jazz-improv1,practice-room-piano-jazz1,0.4546,0.625,true,true,1,0,20,0,KEEP,NOINDEX_CANDIDATE,practice-room-piano-jazz-improv1
practice-room-jeungsan1,practice-room-samsong1,0.4546,0.538,true,true,0,2,6,9,WATCH_LOW,KEEP,practice-room-samsong1
practice-room-drum-jazz-ride1,practice-room-drum-jazz1,0.4543,0.444,true,true,1,2,21,45,KEEP,KEEP,practice-room-drum-jazz1
practice-room-piano-chromatic1,practice-room-piano-concerto1,0.4542,0.273,true,true,1,0,28,0,KEEP,NOINDEX_CANDIDATE,practice-room-piano-chromatic1
practice-room-drum-rimshot-adv1,practice-room-drum-rimshot1,0.4539,0.154,true,true,1,0,58,47,KEEP,WATCH,practice-room-drum-rimshot-adv1
practice-room-jeungsan1,practice-room-wonheung1,0.4535,0.538,true,true,0,0,6,0,WATCH_LOW,NOINDEX_CANDIDATE,practice-room-jeungsan1
practice-room-eungam1,practice-room-jichuk1,0.4530,0.538,true,true,1,2,8,15,KEEP,KEEP,practice-room-jichuk1
practice-room-guitar-blues-scale1,practice-room-guitar-blues1,0.4527,0.308,true,true,2,0,100,28,KEEP,WATCH,practice-room-guitar-blues-scale1
practice-room-vocal-emotion1,practice-room-vocal-range1,0.4526,0.000,true,true,1,1,41,124,KEEP,KEEP,practice-room-vocal-range1
practice-room-piano-beginner-adult1,practice-room-piano-chromatic1,0.4525,0.250,true,true,1,1,20,28,KEEP,KEEP,practice-room-piano-chromatic1
jeonbuk1,jeonnam1,0.4520,0.250,true,true,0,1,14,5,WATCH,KEEP,jeonbuk1
practice-room-guitar-riff1,practice-room-guitar-strumming1,0.4519,0.400,true,true,0,1,0,33,NOINDEX_CANDIDATE,KEEP,practice-room-guitar-strumming1
practice-room-saejeol1,practice-room-samsong1,0.4517,0.538,true,true,1,2,5,9,KEEP,KEEP,practice-room-samsong1
practice-room-guitar-memory1,practice-room-guitar-scale-pos1,0.4512,0.067,true,true,1,1,16,22,KEEP,KEEP,practice-room-guitar-scale-pos1
practice-room-guitar-left-hand1,practice-room-guitar-memory1,0.4511,0.056,true,true,1,1,18,16,KEEP,KEEP,practice-room-guitar-left-hand1
practice-room-gupabal1,practice-room-wondang1,0.4507,0.667,true,true,1,0,6,11,KEEP,WATCH,practice-room-wondang1
practice-room-guitar-pinch-harmonic1,practice-room-guitar-riff1,0.4507,0.273,true,true,0,0,0,0,NOINDEX_CANDIDATE,NOINDEX_CANDIDATE,practice-room-guitar-pinch-harmonic1
practice-room-guitar-picking1,practice-room-guitar-sweep1,0.4506,0.417,true,true,0,1,0,51,NOINDEX_CANDIDATE,KEEP,practice-room-guitar-sweep1
practice-room-guitar-fingering1,practice-room-guitar-stretch1,0.4506,0.231,true,true,0,2,0,60,NOINDEX_CANDIDATE,KEEP,practice-room-guitar-stretch1
practice-room-guitar-fingering1,practice-room-guitar-pinch-harmonic1,0.4504,0.273,true,true,0,0,0,0,NOINDEX_CANDIDATE,NOINDEX_CANDIDATE,practice-room-guitar-pinch-harmonic1
